Categoria;Titular;Fuente
Nacional;Exjefe de Estado Mayor en juicio: «No he participado directamente de ninguno de esos hechos»;https://www.paginasiete.bo/nacional/2022/4/8/exjefe-de-estado-mayor-en-juicio-no-he-participado-directamente-de-ninguno-de-esos-hechos-328058.html
Nacional;Silala: expertos de Bolivia afirman que estudios topográficos de Chile no son comparables;https://www.paginasiete.bo/nacional/2022/4/8/silala-expertos-de-bolivia-afirman-que-estudios-topograficos-de-chile-no-son-comparables-328051.html
Nacional;Añez en juicio oral: «Fui una consecuencia de la convulsión»;https://www.paginasiete.bo/nacional/2022/4/8/anez-en-juicio-oral-fui-una-consecuencia-de-la-convulsion-328042.html
Nacional;Los expertos de Chile no visitaron el Silala y utilizaron datos de Bolivia;https://www.paginasiete.bo/nacional/2022/4/8/los-expertos-de-chile-no-visitaron-el-silala-utilizaron-datos-de-bolivia-328016.html
Nacional;«Creo que Chile cometió un error», dice Guzmán;https://www.paginasiete.bo/nacional/2022/4/8/creo-que-chile-cometio-un-error-dice-guzman-328017.html
Nacional;Exrepresentante: Ductec planteó, sin éxito, desmantelar los canales en 2001;https://www.paginasiete.bo/nacional/2022/4/8/exrepresentante-ductec-planteo-sin-exito-desmantelar-los-canales-en-2001-328018.html
Nacional;Defensor: habilitan 72 carpetas, Vera está fuera;https://www.paginasiete.bo/nacional/2022/4/8/defensor-habilitan-72-carpetas-vera-esta-fuera-328027.html
Nacional;Universidad Metropolitana de Argentina entrega título Doctor Honoris Causa al presidente Arce;https://www.paginasiete.bo/nacional/2022/4/7/universidad-metropolitana-de-argentina-entrega-titulo-doctor-honoris-causa-al-presidente-arce-327982.html
Nacional;"Valverde: ""Evo se convirtió en el sapo, el hombre que está delatando a su propio gobierno""";https://www.paginasiete.bo/nacional/2022/4/7/valverde-evo-se-convirtio-en-el-sapo-el-hombre-que-esta-delatando-su-propio-gobierno-327978.html
Nacional;Exdiputados: Evo hace más oposición que CC y Creemos, logró la destitución de un jefe policial;https://www.paginasiete.bo/nacional/2022/4/7/exdiputados-evo-hace-mas-oposicion-que-cc-creemos-logro-la-destitucion-de-un-jefe-policial-327963.html
Nacional;HRW sobre votación de Bolivia en la ONU: «Se mostró quién defiende la justicia y quién no»;https://www.paginasiete.bo/nacional/2022/4/7/hrw-sobre-votacion-de-bolivia-en-la-onu-se-mostro-quien-defiende-la-justicia-quien-no-327969.html
Nacional;"Dictan receso en el juicio oral de Añez; el viernes es turno de la defensa";https://www.paginasiete.bo/nacional/2022/4/7/dictan-receso-en-el-juicio-oral-de-anez-el-viernes-es-turno-de-la-defensa-327959.html
Nacional;Silala: Chile usó estudios de Bolivia y experto dice que sería «estupendo» eliminar los canales;https://www.paginasiete.bo/nacional/2022/4/7/silala-chile-uso-estudios-de-bolivia-experto-dice-que-seria-estupendo-eliminar-los-canales-327966.html
Nacional;Arce llega a Buenos Aires para reunirse con el presidente Fernández;https://www.paginasiete.bo/nacional/2022/4/7/arce-llega-buenos-aires-para-reunirse-con-el-presidente-fernandez-327958.html
